,name,workshop_date,position,text_length,num_upvotes,talker,quarter
182,jtschoi,2019-10-24,69,32,6,Turner,F
183,jsgenan,2019-10-24,70,84,3,Turner,F
184,caibengbu,2019-10-24,71,32,0,Turner,F
185,yalingtsui,2019-10-24,72,26,0,Turner,F
186,nt546,2019-10-24,73,21,0,Turner,F
187,adarshmathew,2019-10-24,74,181,6,Turner,F
188,Yiqing-Zh,2019-10-24,75,52,0,Turner,F
189,mingtao-gao,2019-10-24,76,44,0,Turner,F
190,anqi-hu,2019-10-24,77,34,2,Turner,F
191,PAHADRIANUS,2019-10-31,0,164,43,Bergstrom,F
192,wanitchayap,2019-10-31,1,38,42,Bergstrom,F
193,policyglot,2019-10-31,2,70,44,Bergstrom,F
194,sanittawan,2019-10-31,3,64,55,Bergstrom,F
195,nwrim,2019-10-31,4,165,53,Bergstrom,F
196,SoyBison,2019-10-31,5,133,49,Bergstrom,F
197,goldengua,2019-10-31,6,81,34,Bergstrom,F
198,hihowme,2019-10-31,7,71,14,Bergstrom,F
199,lulululugagaga,2019-10-31,8,46,22,Bergstrom,F
200,timqzhang,2019-10-31,9,58,30,Bergstrom,F
201,liu431,2019-10-31,10,39,30,Bergstrom,F
202,nswxin,2019-10-31,11,77,7,Bergstrom,F
203,ShuyanHuang,2019-10-31,12,68,3,Bergstrom,F
204,hesongrun,2019-10-31,13,39,14,Bergstrom,F
205,keertanavc,2019-10-31,14,32,12,Bergstrom,F
206,linghui-wu,2019-10-31,15,49,11,Bergstrom,F
207,Leahjl,2019-10-31,16,50,5,Bergstrom,F
208,bakerwho,2019-10-31,17,76,22,Bergstrom,F
209,anuraag94,2019-10-31,18,71,11,Bergstrom,F
210,MegicLF,2019-10-31,19,36,1,Bergstrom,F
211,rkcatipon,2019-10-31,20,61,21,Bergstrom,F
212,bhargavvader,2019-10-31,21,135,13,Bergstrom,F
213,heathercchen,2019-10-31,22,59,10,Bergstrom,F
214,yongfeilu,2019-10-31,23,63,3,Bergstrom,F
215,anqi-hu,2019-10-31,24,58,6,Bergstrom,F
216,di-Tong,2019-10-31,25,23,5,Bergstrom,F
217,YuxinNg,2019-10-31,26,72,4,Bergstrom,F
218,dongchengecon,2019-10-31,27,52,4,Bergstrom,F
219,jsgenan,2019-10-31,28,72,3,Bergstrom,F
220,harryxiong13,2019-10-31,29,65,9,Bergstrom,F
221,tianyueniu,2019-10-31,30,61,5,Bergstrom,F
222,ziwnchen,2019-10-31,31,65,6,Bergstrom,F
223,adarshmathew,2019-10-31,32,78,7,Bergstrom,F
224,jtschoi,2019-10-31,33,74,3,Bergstrom,F
225,chun-hu,2019-10-31,34,38,3,Bergstrom,F
226,luxin-tian,2019-10-31,35,33,2,Bergstrom,F
227,Anqi-Zhou,2019-10-31,36,22,1,Bergstrom,F
228,bjcliang-uchi,2019-10-31,37,23,3,Bergstrom,F
229,HaowenShang,2019-10-31,38,24,3,Bergstrom,F
230,tonofshell,2019-10-31,39,31,4,Bergstrom,F
231,RuoyunTan,2019-10-31,40,65,3,Bergstrom,F
232,ruixili,2019-10-31,41,37,6,Bergstrom,F
233,weijiexu-charlie,2019-10-31,42,20,1,Bergstrom,F
234,KenChenCompEcon,2019-10-31,43,31,5,Bergstrom,F
235,hanjiaxu,2019-10-31,44,40,3,Bergstrom,F
236,SixueLiu96,2019-10-31,45,52,8,Bergstrom,F
237,minminfly68,2019-10-31,46,67,3,Bergstrom,F
238,YanjieZhou,2019-10-31,47,34,3,Bergstrom,F
239,yutianlai,2019-10-31,48,24,2,Bergstrom,F
240,nt546,2019-10-31,49,24,2,Bergstrom,F
241,SiyuanPengMike,2019-10-31,50,43,0,Bergstrom,F
242,vinsonyz,2019-10-31,51,22,5,Bergstrom,F
243,sunying2018,2019-10-31,52,25,1,Bergstrom,F
244,ChivLiu,2019-10-31,53,83,1,Bergstrom,F
245,Yilun0221,2019-10-31,54,25,0,Bergstrom,F
246,luyingjiang,2019-10-31,55,32,0,Bergstrom,F
247,chiayunc,2019-10-31,56,47,3,Bergstrom,F
248,romanticmonkey,2019-10-31,57,62,3,Bergstrom,F
249,huanye,2019-10-31,58,46,1,Bergstrom,F
250,dhruvalb,2019-10-31,59,46,1,Bergstrom,F
251,fulinguo,2019-10-31,60,44,2,Bergstrom,F
252,skanthan95,2019-10-31,61,32,0,Bergstrom,F
253,JuneZzj,2019-10-31,62,66,0,Bergstrom,F
254,TianxinZheng,2019-10-31,63,37,0,Bergstrom,F
255,Yawei-Li,2019-10-31,64,40,0,Bergstrom,F
256,lyl010,2019-10-31,65,23,1,Bergstrom,F
257,Yiqing-Zh,2019-10-31,66,37,1,Bergstrom,F
258,AllisonXiong,2019-10-31,67,44,2,Bergstrom,F
259,ydeng117,2019-10-31,68,43,3,Bergstrom,F
260,ShanglunLi,2019-10-31,69,13,2,Bergstrom,F
261,yalingtsui,2019-10-31,70,37,2,Bergstrom,F
262,ellenhsieh,2019-10-31,71,42,1,Bergstrom,F
263,WMhYang,2019-10-31,72,64,1,Bergstrom,F
264,mingtao-gao,2019-10-31,73,48,0,Bergstrom,F
265,cytwill,2019-10-31,74,67,1,Bergstrom,F
266,bazirou,2019-10-31,75,12,1,Bergstrom,F
267,caibengbu,2019-10-31,76,54,0,Bergstrom,F
268,rkcatipon,2019-11-07,0,64,53,King,F
269,Yilun0221,2019-11-07,1,65,50,King,F
270,tonofshell,2019-11-07,2,25,49,King,F
271,romanticmonkey,2019-11-07,3,33,46,King,F
272,wanitchayap,2019-11-07,4,34,40,King,F
273,goldengua,2019-11-07,5,39,43,King,F
274,hesongrun,2019-11-07,6,41,33,King,F
275,boyangqu,2019-11-07,7,24,6,King,F
276,nwrim,2019-11-07,8,140,47,King,F
277,ChivLiu,2019-11-07,9,57,15,King,F
278,ydeng117,2019-11-07,10,38,15,King,F
279,hihowme,2019-11-07,11,40,10,King,F
280,timqzhang,2019-11-07,12,46,19,King,F
281,lulululugagaga,2019-11-07,13,39,13,King,F
282,mingtao-gao,2019-11-07,14,84,10,King,F
283,RuoyunTan,2019-11-07,15,77,8,King,F
284,luxin-tian,2019-11-07,16,40,5,King,F
285,ShuyanHuang,2019-11-07,17,34,7,King,F
286,Leahjl,2019-11-07,18,63,7,King,F
287,chiayunc,2019-11-07,19,134,21,King,F
288,SoyBison,2019-11-07,20,35,8,King,F
289,YuxinNg,2019-11-07,21,72,5,King,F
290,MegicLF,2019-11-07,22,37,2,King,F
291,KenChenCompEcon,2019-11-07,23,31,8,King,F
292,yongfeilu,2019-11-07,24,39,6,King,F
293,ruixili,2019-11-07,25,22,7,King,F
294,bakerwho,2019-11-07,26,68,17,King,F
295,anqi-hu,2019-11-07,27,38,3,King,F
296,bjcliang-uchi,2019-11-07,28,69,10,King,F
297,policyglot,2019-11-07,29,60,12,King,F
298,JuneZzj,2019-11-07,30,39,2,King,F
299,liu431,2019-11-07,31,21,9,King,F
300,WMhYang,2019-11-07,32,51,1,King,F
301,linghui-wu,2019-11-07,33,31,3,King,F
302,ziwnchen,2019-11-07,34,71,5,King,F
303,HaowenShang,2019-11-07,35,32,2,King,F
304,PAHADRIANUS,2019-11-07,36,127,1,King,F
305,dongchengecon,2019-11-07,37,32,2,King,F
306,harryxiong13,2019-11-07,38,72,2,King,F
307,tianyueniu,2019-11-07,39,54,3,King,F
308,SiyuanPengMike,2019-11-07,40,34,2,King,F
309,nswxin,2019-11-07,41,37,1,King,F
310,chun-hu,2019-11-07,42,37,2,King,F
311,di-Tong,2019-11-07,43,26,3,King,F
312,huanye,2019-11-07,44,43,3,King,F
313,vinsonyz,2019-11-07,45,19,3,King,F
314,cytwill,2019-11-07,46,49,4,King,F
315,sunying2018,2019-11-07,47,27,2,King,F
316,yutianlai,2019-11-07,48,43,0,King,F
317,heathercchen,2019-11-07,49,42,5,King,F
318,minminfly68,2019-11-07,50,107,10,King,F
319,wu-yt,2019-11-07,51,18,1,King,F
320,jtschoi,2019-11-07,52,59,7,King,F
321,ZhouXing-19,2019-11-07,53,41,1,King,F
322,YanjieZhou,2019-11-07,54,38,1,King,F
323,jsgenan,2019-11-07,55,33,1,King,F
324,anuraag94,2019-11-07,56,33,2,King,F
325,Anqi-Zhou,2019-11-07,57,26,1,King,F
326,anuraag94,2019-11-14,0,46,44,Terman,F
327,wanitchayap,2019-11-14,1,83,46,Terman,F
328,goldengua,2019-11-14,2,44,40,Terman,F
329,SoyBison,2019-11-14,3,63,53,Terman,F
330,nwrim,2019-11-14,4,88,44,Terman,F
331,hanjiaxu,2019-11-14,5,43,38,Terman,F
332,bakerwho,2019-11-14,6,55,43,Terman,F
333,lulululugagaga,2019-11-14,7,77,42,Terman,F
334,ydeng117,2019-11-14,8,61,32,Terman,F
335,PAHADRIANUS,2019-11-14,9,132,19,Terman,F
336,vinsonyz,2019-11-14,10,29,9,Terman,F
337,linghui-wu,2019-11-14,11,36,14,Terman,F
338,timqzhang,2019-11-14,12,75,27,Terman,F
339,luxin-tian,2019-11-14,13,43,11,Terman,F
340,WMhYang,2019-11-14,14,68,3,Terman,F
341,hihowme,2019-11-14,15,40,12,Terman,F
342,Yilun0221,2019-11-14,16,10,2,Terman,F
343,ShuyanHuang,2019-11-14,17,28,7,Terman,F
344,bazirou,2019-11-14,18,19,5,Terman,F
345,policyglot,2019-11-14,19,84,24,Terman,F
346,RuoyunTan,2019-11-14,20,68,7,Terman,F
